CountryName,Number,MW,Longitude,Latitude
Argentina,3,1627,-63.616672,-38.416097
Armenia,1,375,45.038189,40.069099
Belgium,7,5913,4.469936,50.503887
Brazil,2,1884,-51.92528,-14.235004
Bulgaria,2,1926,25.48583,42.733883
Canada,19,13500,-106.346771,56.130366
China,31,26635,104.195397,35.86166
Czech Republic,6,3904,15.472962,49.817492
Finland,4,2752,25.748151,61.92411
France,58,63130,2.213749,46.227638
Germany,8,10799,10.451526,51.165691
Hungary,4,1889,19.503304,47.162494
India,21,5308,78.96288,20.593684
Iran,1,915,53.688046,32.427908
Japan,43,40290,138.252924,36.204824
Korea,25,23117,127.978458,37.663998
Mexico,2,1440,-102.552784,23.634501
Netherlands,1,482,5.291266,52.132633
Pakistan,3,690,69.345116,30.375321
Romania,2,1300,24.96676,45.943161
Russian Federation,35,25443,105.318756,61.52401
Slovakian Republic,4,1814,19.699024,48.669026
Slovenia,1,688,14.995463,46.151241
South Africa,2,1860,22.937506,-30.559482
Spain,7,7121,40.463667,40.463667
Sweden,10,9648,18.643501,60.128161
Switzerland,5,3333,8.227512,46.818188
"Taiwan, China",6,5032,120.960515,23.69781
Ukraine,15,13107,31.16558,48.379433
United Kingdom,15,8883,-3.435973,55.378051
USA,99,98708,-95.712891,37.09024
